ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,z,plate,fiberID,mjd
188.03402,34.886232,16.76172,15.3361,14.69777,14.36558,14.08773,0.04072317,2010,275,53495
188.03402,34.886232,16.76172,15.3361,14.69777,14.36558,14.08773,0.04073792,2015,611,53819
188.74742,34.871897,18.31989,16.91977,16.42053,16.11042,15.90695,0.04069566,2020,338,53431
170.48943,34.459305,19.93882,18.35509,17.5677,17.13316,16.7535,0.04054029,2100,330,53713
170.76885,34.132997,18.64846,16.80693,16.04698,15.67807,15.41433,0.0409149,2100,466,53713
170.75862,34.093061,19.431,17.65278,16.8836,16.521,16.24295,0.04091504,2100,468,53713
204.678,32.535458,18.41939,16.54726,15.74605,15.4016,15.12209,0.04089103,2109,75,53468
204.2119,32.526934,18.27042,16.79051,16.16444,15.82959,15.59695,0.04013783,2109,151,53468
203.54389,33.959693,16.77,15.74168,15.33198,15.05229,14.85961,0.04019219,2109,372,53468
203.87054,33.399948,18.98878,17.25116,16.49502,16.14152,15.88782,0.04018261,2109,412,53468
203.85499,33.419812,17.29428,15.49391,14.70888,14.29403,14.02577,0.04037034,2109,414,53468
203.47774,33.025507,17.72886,16.79681,16.51608,16.30021,16.1727,0.04003077,2109,468,53468
204.95169,33.688157,17.03073,15.03328,14.1623,13.74941,13.45524,0.04088134,2109,603,53468
147.01666,20.302346,16.63475,15.31099,14.65261,14.28014,14.00002,0.04039563,2362,477,53759
146.98322,20.372466,17.44839,16.08221,15.42064,15.05135,14.75291,0.04010473,2362,480,53759
155.32096,21.699328,19.54717,18.04727,17.43128,17.12783,16.90979,0.04064915,2365,23,53739
155.09805,21.344247,19.3951,17.98036,17.34477,17.01825,16.77595,0.04042531,2365,65,53739
153.23489,22.523623,18.56496,17.45092,17.02572,16.77259,16.60191,0.04077332,2365,332,53739
156.72298,21.681212,18.56517,16.83726,16.05518,15.69922,15.39126,0.04071424,2366,105,53741
155.16237,21.618049,19.41844,17.68533,16.89785,16.52396,16.2657,0.04004718,2366,267,53741
155.25226,21.716621,17.14925,15.33469,14.52322,14.12565,13.84113,0.04047522,2366,280,53741
155.90681,22.334386,18.82455,17.2144,16.50327,16.08025,15.75822,0.04030144,2366,473,53741
155.93051,22.362393,18.16156,16.94745,16.42371,16.15266,15.9526,0.04058092,2366,486,53741
156.02901,22.297387,16.72328,15.45727,14.89755,14.53172,14.33423,0.0401327,2366,495,53741
157.07804,22.945972,18.89508,17.20815,16.40879,16.06035,15.76159,0.04081102,2366,610,53741
158.29293,21.851496,17.46906,16.34963,15.97035,15.72949,15.56543,0.0407935,2367,140,53763
158.47926,22.312088,17.35129,16.12199,15.61283,15.34924,15.16541,0.04002741,2367,147,53763
158.03153,21.756399,16.87052,15.61682,15.06969,14.76635,14.51578,0.04056324,2367,211,53763
158.05357,21.829329,17.19684,16.1493,15.70588,15.43227,15.28465,0.04035989,2367,212,53763
157.23156,22.135521,17.58528,15.85344,15.0403,14.68111,14.37042,0.04093602,2367,261,53763
157.26647,22.930213,18.51038,17.40169,17.00675,16.77001,16.54288,0.04083436,2367,388,53763
164.43606,24.195107,18.11841,16.28146,15.48572,15.09346,14.78969,0.0408197,2486,362,53876
